손실 함수,최종 훈련 정확도 (%),최종 테스트 정확도 (%),최소 훈련 손실,최소 테스트 손실,수렴까지 걸린 에포크
CrossEntropy,100.00,98.33,0.0013,0.0511,3
MSE (with softmax),100.00,96.94,0.0000,0.0033,3
