활성화 함수,Dead ReLU 비율 (%),최종 테스트 정확도 (%),수렴 속도 (epochs),평균 Gradient 크기
ReLU,53.42,92.67,31,0.004692
LeakyReLU,52.23,93.33,42,0.005686
Sigmoid,0.00,93.33,252,0.003568
