손실 함수,최종 훈련 정확도 (%),최종 테스트 정확도 (%),최소 훈련 손실,최소 테스트 손실,수렴까지 걸린 에포크
CrossEntropy,96.42,89.04,0.0965,0.3214,2
MSE (with softmax),95.39,88.68,0.0074,0.0162,2
